source,source_id,title,address,place,map_x,map_y,image_url,start_date,end_date,usage_time,tel,description,homepage,sigungu_code
busan_festival,531,"감천문화마을골목축제(한,영,중간,중번,일)",부산광역시 사하구 감내2로 203,감천문화마을 골목축제,129.00931,35.095776,https://www.visitbusan.net/uploadImgs/files/cntnts/20200110160422867_ttiel,20251024,20251025,,051-220-5911,"감천골에 흥이 넘쳐난다. 마을 주민들이 잔치를 준비하고 손님을 초대하니 감천문화마을 골목축제로 놀러가자. 전쟁의 상흔을 가진 마을에 예술이 깃들며 보존과 재생의 성공적 아이콘으로 재탄생했다. 평소에는 스탬프 지도를 따라가며 도장 모으는 재미가 가득했던 개별 마을투어였다면, 축제기간 동안에는 골목별 다양한 어울림 프로그램도 함께 배치해 골목투어를 하는 관광객과 주민이 한데 어우러지는 즐겁고 색다른 경험을 할 수 있다.",https://www.gamcheon.or.kr/,10
busan_festival,442,"광안리어방축제(한,영,중간,중번,일)",부산광역시 수영구 광안해변로 219,광안리해변 및 수영사적공원 일원,129.11893,35.153156,https://www.visitbusan.net/uploadImgs/files/cntnts/20191231174925322_ttiel,20260612,20260614,,051-610-4062,"매년 5월, 옛날 어업 협동체 ‘어방(漁坊)’의 전통을 이어가는 광안리 어방축제가 광안리 해변 및 수영사적공원 일원에서 그 화려한 막을 연다. 수천의 관중이 지켜보는 가운데 경상 좌수사 행렬이 축제의 개막을 알리고, 고기잡이 나가는 어부들의 놀이판 좌수영어방놀이가 흥을 돋운다. 멋들어지게 재건한 수영성 주위로 늠름한 수문장들의 교대식을 구경하려는 사람들이 모여든다. 맨손으로 활어 잡기에 성공한 참가자의 환한 얼굴에서 축제의 즐거움이 고스란히 전해진다.",http://www.suyeong.go.kr/eobang,12
busan_festival,330,"금정산성축제(한,영,중간,중번,일)",부산광역시 금정구 산성로 501-2,금정산성축제,129.08815,35.23809,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227115551778_ttiel,20250613,20250615,,051-715-6884,"5월은 축제의 계절, 부산 금정구에서도 금정산성의 역사와 문화를 연계한 금정산성축제를 개최한다.
전국 최장 길이 금정산성과 경치 좋은 산책길 온천천 일대에서 펼쳐지는 3일간의 문화예술 체험축제이다. 녹음이 우거진 금정산성 마을에서 즐기는 역사문화여행, 호패 하나 손에 쥐고 떠나는 오감만족 체험의 세계로 방문객을 초대한다.
금정구 일원에서도 신나는 거리공연과 다양한 부대행사를 진행한다.
5월엔 축제 프로그램 풍성한 금정산성으로 놀러가자!",http://www.gjfac.org/gjfac/main.php,2
busan_festival,443,"기장멸치축제(한, 영, 중간, 중번, 일)",부산광역시 기장군 기장읍 대변항 일원,기장멸치축제,129.23056,35.223377,https://www.visitbusan.net/uploadImgs/files/cntnts/20191231175726016_ttiel,20250425,20250427,,051-709-4502,"풍요로운 기장 앞바다의 맛을 맘껏 즐기려면? 기장멸치의 신선함을 있는 그대로 보여주는 기장멸치축제로 가면 된다.
봄이 되면 오동통통 살이 올라 씹는 맛이 일품인 기장멸치를 새콤달콤 입맛 돋우는 회무침으로도, 튀김옷 얇게 입힌 고소한 튀김으로도, 된장과 시래기 넣고 끓인 구수한 찌개로도 맛 볼 수 있다. 기장멸치축제의 인기 프로그램 맨손활어잡기 도전도 하고 공연의 압권인 플라잉보드 쇼도 보며 시간 가는 줄 모른다. 깜짝 경매에 참가해 기장멸치를 저렴한 가격으로 구입할 수도 있다.",https://www.gijang.go.kr/index.gijang?menuCd=DOM_000000302000000000,3
busan_festival,441,"기장미역다시마축제(한, 영, 중간, 중번, 일)",부산광역시 기장군 일광읍 이동항 일원,기장미역다시마축제,129.2447,35.271782,https://www.visitbusan.net/uploadImgs/files/cntnts/20191231114635471_ttiel,20250418,20250420,,051-721-4811,"기장 앞바다의 봄은 수확의 계절이다. 띄워 놓은 부표아래 줄줄이 자라난 미역을 채취하느라 일 년 중 가장 바쁜 시기를 보내는 기장 이동항에 기장미역다시마축제가 함께 한다. 상품의 품질에 따라 다양한 가격대의 미역과 다시마를 저렴한 가격에 구매할 수 있다. 볼거리, 먹거리 천국에 미역‧다시마 생초 수확체험이 인기다. 점심시간에는 해초비빔밥이 무료로 제공된다.
명품 수산물 기장미역‧다시마 득템하러 얼른 가보자!

**기장미역다시마축제**
2026.04.17.~04.19.",http://www.gijang.go.kr/tour/index.gijang,3
busan_festival,499,"낙동강 정원 벚꽃축제(한,영,중간,중번,일)","낙동제방 벚꽃길 일원, 르네시떼 야외무대",낙동강 정원 벚꽃축제,128.97609,35.16549,https://www.visitbusan.net/uploadImgs/files/cntnts/20200102120811862_ttiel,20260403,20260412,,051-310-4066,"만개한 벚꽃이 12킬로미터의 터널을 만들어주는 낙동강 정원 벚꽃축제가 한창이다.
눈부시게 쏟아지는 봄 햇살 사이로 꽃망울을 터트리며 몽환의 세계를 선사하는 아름다운 곳, 활짝 핀 연분홍의 벚꽃이 다른 세상에 데려다 놓은 듯하다.
찰나의 화려함을 간직한 벚꽃이기에 꽃송이 하나하나가 더욱 소중하다. 제방을 따라 또 다른 봄꽃 샛노란 개나리가 벚꽃의 아쉬움을 위로한다.
흐드러진 벚꽃터널, 그 아래 느린 산책만으로 힐링을 선물 받는다.",https://www.sasang.go.kr/index.sasang?menuCd=DOM_000000604002000000,9
busan_festival,331,"낙동강구포나루축제(한,영,중간,중번,일)",부산광역시 북구 화명생태공원 연꽃단지 일원,낙동강구포나루축제,129.00346,35.22585,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227120157384_ttiel,20261016,20261018,,051-309-4522,"싱그러운 봄, 솔솔 부는 강바람에 구포나루의 정겨운 북적거림이 실려 온다.
조선시대 낙동강 뱃길의 출발지로 교역문화의 꽃을 피웠던 구포나루터. 번성했던 옛 구포나루를 그대로 재연해 당시의 감동과 향수를 선사하는 낙동강구포나루축제가 매년 화명생태공원에서 개최된다. 낙동강과 더불어 살아온 사람들의 삶, 그 진솔한 이야기를 다양한 공연과 체험‧전시 프로그램에 담아낸다.
강변에서 펼쳐지는 낙동강구포나루축제에서 향기로운 추억 만들기 도전해 볼까?",https://www.bsbukgu.go.kr/tour/index.bsbukgu?menuCd=DOM_000000402006001000,8
busan_festival,407,"동래읍성 역사축제(한, 영, 중간, 중번, 일)",부산광역시 동래구 문화로 80,동래읍성 역사축제,129.09091,35.21127,https://www.visitbusan.net/uploadImgs/files/cntnts/20191230193142955_ttiel,20261016,20261018,,051-550-4000,"10월은 축제의 달.
부산 역시 수많은 축제가 우리를 기다리고 있지만, ‘역사’라는 명확한 테마를 가지고 20년이 훌쩍 넘게 동래의 대표 축제로 자리 잡은 ‘동래읍성 역사축제’는 청명한 가을에 만나기 딱 좋은 축제다.

천여 명의 사람들이 함께 행렬을 꾸미는 ‘동래부사행차 길놀이’로 동래를 누비며 1592년 그 때로 돌아가는 타임머신, 동래읍성역사축제는 시작된다.
동래읍성역사축제의 상징이라 할 수 있는 뮤지컬 ‘외로운 성’은 동래읍성 북문 앞마당에서 펼쳐지는 역사 뮤지컬이다. 1592년 임진왜란 당시 목숨을 걸고 동래읍성을 지키고자 했던 동래사람들의 모습을 생생하고 역동적인 뮤지컬로 함께할 수 있다. 비장한 모습의 배우들과 웅장한 노래는 관객으로 하여금 1592년의 동래로 돌아가 그 날의 뜨거움 속에 빠져들게 해준다.
동래읍성의 야트막한 동산에서 열리는 축제 인만큼, 맑고 쾌청한 가을날 가족 나들이로 동래읍성역사축제를 찾은 사람들을 많이 만날 수 있다. 푸른 잔디와 파란 가을하늘을 배경삼아 동산에서 연을 날리는 아이들의 모습이 절로 미소를 짓게 해준다. 다양한 체험 프로그램도 빠질 수 없다. 아이들과 재미있게 역사를 배울 수 있는 체험코너가 많기에 즐거운 역사교육의 장으로 활용도가 꽤 높다.
조선시대의 문화를 만날 수 있는 행사도 다양하다. 재미있는 이야기보따리를 흥겹게 풀어내는 이야기꾼 ‘전기수’를 만나보는 시간이 특색 있다. 멍석에 앉아 전기수의 말에 귀를 기울이며 울고 웃는 사람들의 모습에서 ‘아날로그 콘텐츠’를 경험하는 신기함을 느낄 수 있다.
밧줄 위에서 자유롭게 뛰노는 ‘전통줄타기’도 흥미진진하다. 신나게 줄놀이 하는 어름산이를 따라 눈도 커졌다가, 입도 커졌다가, 조마조마했다가, 안도했다가, 보는 이들의 마음도 함께 널을 뛴다.
머리 위로 늘어진 노란 소망등. 따뜻한 느낌의 소망터널에는 사람들의 크고 작은 소원이 가득하다. 가족과 친구의 행복을 비는 소원지가 저마다의 정성을 간직한 채 바람에 살랑거린다.
흥겨운 사물놀이와 더불어 영차영차 서로를 응원하는 소리가 우렁차다. 하면 할수록 흥이 오르고 에너지가 터져 나오는 이 줄다리기의 이름은 동래세가닥줄다리기. 매년 재현되는 동래의 전통 민속놀이로, 승부를 겨루기보다는 사람들이 모두 모여 화합하는 잔치의 한마당이다.

잊어서는 안 될 역사를 확실히 기억하고 널리 알리면서, 축제의 즐거움 또한 놓치지 않고 풍성하게 전해주는 동래읍성 역사축제로 가보자.

**동래읍성 역사축제**
 2025.10.24. (금) ~ 2025.10.26. (일)",https://www.dongnae.go.kr/festival/index.dongnae?contentsSid=169,6
busan_festival,411,"부산자갈치축제(한,영,중간,중번,일)",부산광역시 중구 자갈치해안로 52,부산자갈치축제,129.03058,35.096703,https://www.visitbusan.net/uploadImgs/files/cntnts/20191230200521249_ttiel,20251023,20251026,,051-245-2594,"매년 10월이 되면 부산 바다의 정기를 느낄 수 있는 축제가 열린다. 바로 부산자갈치축제가 그것! 부산 대표 수산시장 중 하나인 자갈치시장에서 약 4일간 진행되는 축제는 싱싱한 해산물과 화끈한 부산 아지매들의 정을 느낄 수 있는 바다의 향연이다.
과거 자갈이 많은 지형이어서 ‘자갈치’란 이름이 붙은 자갈치시장은 부산을 넘어 한국의 대표 어시장으로 자리매김한지 오래다. 일제강점기와 한국전쟁 시기를 거쳐 생겨난 작은 노점상들이 1970년대 정비 사업을 통해 오늘날의 모습을 갖추게 됐다. 최근에는 할리우드 영화의 배경이 되기도 하면서 국내 관광객뿐만 아니라 외국인들까지 찾고 있다.
부산자갈치축제는 크게 세 마당으로 나뉜다. 오이소마당에선 남녀노소 누구나 즐길 수 있는 체험 이벤트가, 보이소마당에선 다양한 공연 프로그램이, 사이소마당에선 촐촐한 배를 달랠 수 있는 먹거리가 사람들을 유혹한다. 볼거리, 먹거리, 즐길 거리가 실속 있게 꽉 찬 덕에 골목마다 축제를 즐기려는 사람들로 인산인해를 이룬다.
오이소마당은 흥에 겨운 미소가 떠나지 않은 축제의 장이다. 특히 세계 최대 회비빔밥 만들기에 도전하는 참가자들의 표정이 의욕적이다. 해마다 조금씩 양을 늘려가며 매번 기네스에 도전한다고 한다. 꼭 기록을 갱신하겠다는 의지를 보이며 영차영차 손놀림이 바빠진다. 도전 후에는 축제에 참가한 모든 분들과 회비빔밥을 나눠 먹는다고 하니 싱싱한 자갈치의 맛을 즐기려면 줄을 잘 서야 할 것만 같다.
보이소마당은 흥이 많은 한국 사람과 가장 잘 맞는 코너 일지 모른다. 자갈치 어로요 퍼포먼스가 시작되면 흥겨운 우리 가락에 맞춰 덩실덩실 몸을 들썩이게 된다. 그렇게 흥이 오른 사람들은 자갈치 효(孝) 가요제에 나가보자, 그간 갈고닦은 솜씨를 뽐내는 무대는 긴장과 즐거움 사이의 묘한 기운을 느끼게 하는 자리다. 음악이 있고 흥이 있는 축제를 즐기다 보면 어느새 땅거미가 지고 축제는 무르익어 간다.
특히 부산자갈치축제에서 먹거리는 빠질 수 없는 부분이다. 사이소마당은 신선한 해산물로 만든 다양한 요리를 맛볼 수 있는 코너다. 한쪽에 마련된 테이블에서 삼삼오오 맛있는 안주와 함께 이야기꽃을 피우는 사람들로 축제장은 밤늦도록 문전성시를 이룬다.
이 밖에도 스타들과 함께하는 프로그램도 진행되는데 유명 MC, 개그맨들과 함께 자갈치시장을 둘러보기도 하고 찾아가는 경매를 치르기도 한다.",,15
busan_festival,2136,"서면 빛 축제(한,영,중간,중번,일)",부산 진구 부전동 서면 1번가 일원 (중앙대로 691번 길 및 서면로 일원),"‘빛과 걷다 (Walk With Light)’, 서면 빛 축제",129.05841,35.15347,https://www.visitbusan.net/uploadImgs/files/cntnts/20241021182231021_ttiel,20251013,20260228,2024.10.02.수~2025.01.10.금,051-605-4524,"매년 찾아오는 빛의 향연, 화려한 조명 속에서 특별한 순간을 만들고 싶으신가요? 연인과 로맨틱한 데이트나 가족과의 새로운 경험을 원하신다면, 서면 빛 축제를 소개합니다!



""빛을 통해 세상을 만나고, 하늘을 본다."" 올해도 서면 빛 축제가 열립니다. 매년 가을과 겨울, 서면 거리를 화려한 조명으로 물들이는 이 축제는 지난해 ‘대한민국 밤밤곡곡 100선’에 선정될 만큼 큰 인기를 끌었죠.
올해는 구간이 1.8km로 확대되어 서면 1번가 일대에서 다양한 빛 조형물과 포토존이 마련됩니다. 서면 로타리 부산탑을 형상화한 아치형 게이트와 진구 캐릭터인 백양할배와 호천냥이 벌룬, 크리스마스트리 등 다채로운 조형물이 여러분을 기다리며 각 구역마다 다른 테마의 조형물이 새로운 볼거리를 선사해요.
시민 참여 프로그램으로는 폴라로이드 사진 인화 이벤트와 미디어 파사드, 소원 리본 등이 준비되어 있어요.

빛 축제인 만큼 저녁에 방문하는 것이 더욱 매력적이겠죠. 축제기간 동안 서면 일대는 붐비므로 대중교통 이용을 권장합니다. 서면 빛 축제는 가족, 친구, 연인 모두에게 즐거운 시간을 제공합니다. 로맨틱한 분위기 속에서 주변 음식점과 카페의 다양한 이벤트와 할인 혜택도 놓치지 마세요!

서면의 밤거리를 걸으며 포토존에서 사진을 찍고 맛있는 길거리 음식과 함께 소중한 추억을 쌓아보세요. 연말 분위기를 만끽할 수 있는 빛의 향연 속에서 특별한 순간을 같이 즐겨보아요~!",https://www.busanjin.go.kr/board/view.busanjin?boardId=BBS_0000009&menuCd=DOM_000000110001001000&paging=ok&startPage=1&dataSid=3898941,7
